"Data Source","World Development Indicators",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Burkina Faso","BFA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","547.915171406418","601.501545217217","600.256412170724","618.752404833506","623.04910226231","654.261620684681","719.456366749088","756.73218509342","798.474269317239","845.766849311736","855.744761608634","906.07279057734","933.240365678649","995.464240876684","1037.23164396538","1128.29564793919","1198.7569255114","1261.98290234091","1339.24552299035","1348.00597328322","1394.25310031292","1472.71584137964","1550.63068365519","1620.20536870048","1672.02343716292","1704.85964271179","1772.8482792833","1866.51473323224","1984.8843059546","",
"Bangladesh","BGD","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","860.210510017322","899.142123457605","948.272146878142","994.673732719541","1033.08694927569","1085.34990426277","1130.86005913727","1176.89572593089","1226.02089266519","1275.73823400107","1346.74320450441","1419.13778161562","1469.84576124734","1541.18592296435","1638.91616497517","1773.888587831","1923.41757295333","2088.72093530987","2231.68946441646","2335.91871656494","2466.90294873953","2650.72993332452","2844.70256474475","3033.40463209227","3240.88562338726","3451.398506706","3696.77619313802","3998.41942353744","4371.75498582046","",
"Bulgaria","BGR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7493.20689874429","7162.974000793","6866.76555823056","6980.86991184109","7284.25536089913","7683.85368541215","6779.30803153646","5696.76527716269","6141.21257729053","5767.16792589208","6377.83747429957","6908.95605518324","7726.40097711078","8343.13885383018","9122.84955375309","10211.2798788526","11313.5508143539","12800.8166750994","14328.9898581008","14146.1068964246","14934.132741045","15676.1333354642","16208.2204291165","16571.028761691","17534.3032559292","18186.4872278588","19500.3294529732","20948.1942754245","21960.3699424605","",
"Bahrain","BHR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22786.0509698582","25491.2071636739","27107.7113545104","30554.7856072246","30371.7601118168","31420.325742161","32448.9802487401","33099.1388892583","34002.2606994989","34685.452286788","35763.2102338067","35689.4830603562","35551.5897386025","36338.5841612794","37461.9329888351","38492.0941855358","39170.685119132","40300.1797819493","40565.7798265568","39422.3421012556","39740.617935131","40168.3278932788","41753.1013827456","44273.4218466164","46331.9824180705","46911.9622733638","47215.7861780145","47660.7173057748","47303.0485062895","",
"Bahamas, The","BHS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20120.3484581008","19565.5369592595","18882.6202584666","19028.9914120105","19700.1622689177","20668.9077357057","21643.2303617601","22206.1709480087","23253.1427981453","24976.2782047575","26238.1844633136","27102.4547934335","27812.3591441384","27482.0559133327","27956.3822863408","29258.7016152378","30326.4527288646","30996.428799745","30299.925482837","28760.5128586491","29099.0572097207","29503.7080684624","30656.1339457737","29977.7397698355","30482.1981102924","30696.3383891008","30863.2669254018","31155.1447519368","32087.7291547443","",
"Bosnia and Herzegovina","BIH","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","952.903907093631","1208.2315535292","2364.76078686753","3257.32833700938","3809.61970605828","4225.42414953549","4547.9726702944","4751.11736117519","5136.52031267024","5373.14265907237","6200.62071114799","6479.66019242022","7406.34744829583","8188.58984099064","9028.86538080467","9030.46433192636","9347.58351722124","9976.47966210109","10304.0164615688","11016.5828511677","11433.1605263408","12013.9824977044","12824.0361342552","13735.0785041602","14623.6740532923","",
"Belarus","BLR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5429.32105489645","5542.85252929779","5113.89229532246","4826.32463587883","4357.75395694801","3999.32412733673","4200.59488308142","4780.38712085908","5265.24390798005","5546.14509671974","6027.32518550335","6483.76108187312","6962.79822751493","7644.92770592046","8809.52694481277","10005.9372508239","11409.2555972678","12781.8090928852","14409.2218838145","14580.5808004276","15927.8747037149","17166.6956434719","17807.4177409892","18298.8470648279","18949.88243997","18389.7437502613","18098.4228594571","18915.9398913696","19994.8040788005","",
"Belize","BLZ","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3262.19585701114","3688.80829259868","4158.32579299743","4448.496512647","4459.11974140205","4464.98945236169","4467.04879255038","4537.05814121299","4580.64147564648","4869.77742415226","5437.38449772528","5658.08868882986","5873.41137636632","6369.45747684755","6669.72180666449","6873.41576888478","7214.46735500458","7297.39843287217","7484.37002343558","7403.04414588561","7555.20430832874","7694.35511087352","7886.90193394527","7913.06167207252","8179.4564402616","8371.37437567136","8242.62959224905","8352.94434641064","8648.08879957291","",
"Bermuda","BMU","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26316.0439536759","26380.0463859694","27161.1485797187","28488.0461654366","29068.5292783727","30762.7094846151","31935.8848363997","33774.2628653871","35226.7198962888","36737.958855256","40694.7922128586","44112.3269882128","43861.5704093954","45898.5811993621","47914.3737825122","49909.8809096849","53960.5565948174","56666.4415724346","58305.3793049938","55337.676032766","55241.0749004741","54984.5103947777","53137.2150704497","52547.3330901036","","","","","","",
"Bolivia","BOL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2402.712723812","2560.10965258932","2606.01116782426","2723.85829791577","2851.83350240496","2985.64993652571","3108.9104380255","3253.04750858738","3387.13091947748","3383.70959608058","3478.20247064233","3546.11606277535","3623.09176962976","3721.05593916975","3909.06503911155","4134.61651256788","4386.56545489537","4629.68279755727","4925.91966975409","5045.33127267656","5228.11532909934","5524.71779777384","5825.13998451116","6231.29634495361","6593.23298218238","6882.48891602382","7147.83920980984","7480.07714054929","7873.16624301","",
